Age,Sex,StateFrom,StateTo,MeanDays,StdDays,Count,Chance
0,FEMALE,H,R,2.333,1.155,3,0.5
0,FEMALE,H,U,0.0,0.0,3,0.5
0,FEMALE,Iv,H,0.0,0.0,5,1.0
0,FEMALE,U,H,3.0,0.0,1,0.333
0,FEMALE,U,R,3.5,3.536,2,0.667
0,MALE,H,R,1.333,1.528,3,0.75
0,MALE,H,U,0.0,0.0,1,0.25
0,MALE,Iv,H,0.0,0.0,4,1.0
0,MALE,U,R,2.0,0.0,1,1.0
1,MALE,H,R,5.0,0.0,1,1.0
1,MALE,Iv,H,0.0,0.0,1,1.0
2,FEMALE,I,Is,0.0,0.0,1,1.0
2,FEMALE,Is,H,1.0,0.0,1,1.0
15,FEMALE,H,R,4.0,0.0,1,1.0
15,FEMALE,Iv,H,0.0,0.0,1,1.0
15,MALE,I,Iv,2.0,0.0,1,1.0
18,FEMALE,H,R,4.0,0.0,1,1.0
18,FEMALE,I,Is,0.0,0.0,1,1.0
18,FEMALE,Is,H,1.0,0.0,1,1.0
18,FEMALE,Iv,H,0.0,0.0,1,1.0
19,FEMALE,I,Is,0.0,0.0,1,1.0
19,FEMALE,Is,H,1.0,0.0,1,1.0
20,FEMALE,I,Is,0.0,0.0,4,0.8
20,FEMALE,I,Iv,5.0,0.0,1,0.2
20,FEMALE,Is,H,4.25,4.717,4,1.0
20,FEMALE,Iv,H,0.0,0.0,1,1.0
20,MALE,I,Is,0.0,0.0,2,1.0
20,MALE,Is,H,7.0,0.0,2,1.0
21,FEMALE,I,Is,0.0,0.0,2,1.0
21,FEMALE,Is,H,6.5,9.192,2,1.0
21,MALE,H,R,8.5,2.121,2,1.0
21,MALE,Iv,H,0.0,0.0,2,1.0
22,MALE,H,R,5.5,2.121,2,1.0
22,MALE,I,Iv,1.0,0.0,1,1.0
22,MALE,Iv,H,0.0,0.0,2,1.0
23,FEMALE,H,R,4.5,0.707,2,1.0
23,FEMALE,I,Is,0.0,0.0,1,1.0
23,FEMALE,Is,H,5.0,0.0,1,1.0
23,FEMALE,Iv,H,0.0,0.0,2,1.0
24,MALE,H,R,4.5,2.121,2,1.0
24,MALE,I,Is,0.0,0.0,2,1.0
24,MALE,Is,H,6.0,1.414,2,1.0
24,MALE,Iv,H,0.0,0.0,2,1.0
25,MALE,H,R,4.0,0.0,1,1.0
25,MALE,I,Is,0.0,0.0,2,1.0
25,MALE,Is,H,6.5,7.778,2,1.0
25,MALE,Iv,H,0.0,0.0,1,1.0
26,MALE,H,R,6.5,7.047,4,1.0
26,MALE,I,Is,0.0,0.0,1,1.0
26,MALE,Is,H,4.0,0.0,1,1.0
26,MALE,Iv,H,0.0,0.0,4,1.0
27,FEMALE,H,R,3.0,0.0,1,1.0
27,FEMALE,Iv,H,0.0,0.0,1,1.0
27,MALE,H,R,3.857,2.116,7,1.0
27,MALE,I,Is,0.0,0.0,2,0.5
27,MALE,I,Iv,3.5,4.95,2,0.5
27,MALE,Is,H,1.0,1.414,2,1.0
27,MALE,Iv,H,0.0,0.0,7,1.0
28,FEMALE,H,R,2.0,0.0,1,1.0
28,FEMALE,I,Is,0.0,0.0,2,1.0
28,FEMALE,Is,H,2.0,1.414,2,1.0
28,FEMALE,Iv,H,0.0,0.0,1,1.0
28,MALE,H,R,5.0,0.0,1,1.0
28,MALE,I,Iv,2.5,0.707,2,1.0
28,MALE,Iv,H,0.0,0.0,1,1.0
29,FEMALE,H,R,6.0,0.0,1,1.0
29,FEMALE,I,Is,0.0,0.0,2,0.667
29,FEMALE,I,Iv,0.0,0.0,1,0.333
29,FEMALE,Is,H,4.5,6.364,2,1.0
29,FEMALE,Iv,H,0.0,0.0,1,1.0
29,MALE,H,R,4.714,2.43,7,0.778
29,MALE,H,U,2.0,2.828,2,0.222
29,MALE,I,Is,0.0,0.0,1,1.0
29,MALE,Is,H,1.0,0.0,1,1.0
29,MALE,Iv,H,0.0,0.0,7,1.0
29,MALE,U,H,2.5,2.121,2,1.0
30,FEMALE,I,Is,0.0,0.0,2,1.0
30,FEMALE,Is,H,4.0,2.828,2,1.0
30,MALE,H,R,4.0,0.0,1,1.0
30,MALE,I,Is,0.0,0.0,4,0.8
30,MALE,I,Iv,0.0,0.0,1,0.2
30,MALE,Is,H,2.5,3.416,4,1.0
30,MALE,Iv,H,0.0,0.0,1,1.0
31,MALE,H,R,4.0,2.0,3,0.75
31,MALE,H,U,1.0,0.0,1,0.25
31,MALE,I,Is,0.0,0.0,2,1.0
31,MALE,Is,H,5.0,1.414,2,1.0
31,MALE,Iv,H,0.0,0.0,4,1.0
