Age,Sex,StateFrom,StateTo,MeanDays,StdDays,Count,Chance
1,FEMALE,H,R,13.0,0.0,1,1.0
1,FEMALE,I,Is,0.0,0.0,3,1.0
1,FEMALE,Is,H,1.0,1.732,3,1.0
1,FEMALE,L,A,0.0,0.0,1,0.25
1,FEMALE,L,I,0.0,0.0,3,0.75
1,MALE,A,R,19.5,3.536,2,1.0
1,MALE,H,R,26.0,0.0,1,1.0
1,MALE,I,Is,0.0,0.0,1,1.0
1,MALE,Is,H,1.0,0.0,1,1.0
1,MALE,L,A,0.0,0.0,4,0.8
1,MALE,L,I,0.0,0.0,1,0.2
2,FEMALE,A,R,17.0,0.0,1,1.0
2,FEMALE,L,A,0.0,0.0,1,1.0
2,MALE,A,R,21.0,0.0,1,1.0
2,MALE,L,A,0.0,0.0,1,1.0
3,FEMALE,A,R,15.0,0.0,1,1.0
3,FEMALE,H,R,11.0,0.0,1,1.0
3,FEMALE,I,Is,0.0,0.0,1,1.0
3,FEMALE,Is,H,10.0,0.0,1,1.0
3,FEMALE,L,A,0.0,0.0,2,0.667
3,FEMALE,L,I,0.0,0.0,1,0.333
3,MALE,A,R,14.0,0.0,2,1.0
3,MALE,H,R,20.0,0.0,1,1.0
3,MALE,I,Is,0.0,0.0,1,1.0
3,MALE,Is,H,1.0,0.0,1,1.0
3,MALE,L,A,0.0,0.0,2,0.667
3,MALE,L,I,0.0,0.0,1,0.333
4,FEMALE,H,R,12.0,0.0,1,1.0
4,FEMALE,I,Is,0.0,0.0,2,1.0
4,FEMALE,Is,H,1.5,6.364,2,1.0
4,FEMALE,L,A,0.0,0.0,1,0.333
4,FEMALE,L,I,0.0,0.0,2,0.667
4,MALE,H,R,18.0,0.0,1,1.0
4,MALE,I,Is,0.0,0.0,2,1.0
4,MALE,Is,H,2.0,2.828,2,1.0
4,MALE,L,I,0.0,0.0,2,1.0
5,FEMALE,A,R,14.0,0.0,1,1.0
5,FEMALE,I,Is,0.0,0.0,1,1.0
5,FEMALE,Is,H,5.0,0.0,1,1.0
5,FEMALE,L,A,0.0,0.0,3,0.75
5,FEMALE,L,I,0.0,0.0,1,0.25
5,MALE,A,R,16.0,2.828,2,1.0
5,MALE,H,R,23.0,0.0,1,1.0
5,MALE,I,Is,0.0,0.0,1,1.0
5,MALE,Is,H,3.0,0.0,1,1.0
5,MALE,L,A,0.0,0.0,2,0.667
5,MALE,L,I,0.0,0.0,1,0.333
6,FEMALE,A,R,21.0,0.0,1,1.0
6,FEMALE,L,A,0.0,0.0,1,1.0
6,MALE,A,R,14.0,1.414,2,1.0
6,MALE,H,R,20.667,3.512,3,1.0
6,MALE,I,Is,0.0,0.0,4,1.0
6,MALE,Is,H,0.5,0.577,4,1.0
6,MALE,L,A,0.0,0.0,3,0.429
6,MALE,L,I,0.0,0.0,4,0.571
7,FEMALE,A,R,14.0,0.0,1,1.0
7,FEMALE,H,R,21.667,6.028,3,1.0
7,FEMALE,I,Is,0.0,0.0,4,1.0
7,FEMALE,Is,H,1.25,0.957,4,1.0
7,FEMALE,L,A,0.0,0.0,2,0.333
7,FEMALE,L,I,0.0,0.0,4,0.667
7,MALE,A,R,16.5,1.291,4,1.0
7,MALE,H,R,24.5,3.536,2,1.0
7,MALE,I,Is,0.0,0.0,2,1.0
7,MALE,Is,H,3.0,1.414,2,1.0
7,MALE,L,A,0.0,0.0,5,0.714
7,MALE,L,I,0.0,0.0,2,0.286
8,FEMALE,A,R,14.0,0.0,1,1.0
