Age,Sex,StateFrom,StateTo,MeanDays,StdDays,Count,Chance
18,FEMALE,S,Lp,1,3,1,1.0
18,MALE,S,Lp,1,3,1,1.0
18,FEMALE,Lp,A,1,3,1,1.0
18,MALE,Lp,A,1,3,1,1.0
18,FEMALE,A,R,1,3,1,1.0
18,MALE,A,R,1,3,1,1.0
18,FEMALE,Lp,Ls,1,3,1,1.0
18,MALE,Lp,Ls,1,3,1,1.0
18,FEMALE,Ls,Ip,1,3,1,1.0
18,MALE,Ls,Ip,1,3,1,1.0
18,FEMALE,Ls,Iv,1,3,1,1.0
18,MALE,Ls,Iv,1,3,1,1.0
18,FEMALE,Ls,Is,1,3,1,1.0
18,MALE,Ls,Is,1,3,1,1.0
18,FEMALE,Ip,Is,1,3,1,1.0
18,MALE,Ip,Is,1,3,1,1.0
18,FEMALE,Ip,Iv,1,3,1,1.0
18,MALE,Ip,Iv,1,3,1,1.0
18,FEMALE,Is,R,1,3,1,1.0
18,MALE,Is,R,1,3,1,1.0
18,FEMALE,Is,H,1,3,1,1.0
18,MALE,Is,H,1,3,1,1.0
18,FEMALE,Is,D,1,3,1,1.0
18,MALE,Is,D,1,3,1,1.0
18,FEMALE,Iv,R,1,3,1,1.0
18,MALE,Iv,R,1,3,1,1.0
18,FEMALE,Iv,H,1,3,1,1.0
18,MALE,Iv,H,1,3,1,1.0
18,FEMALE,Iv,D,1,3,1,1.0
18,MALE,Iv,D,1,3,1,1.0
18,FEMALE,H,R,1,3,1,1.0
18,MALE,H,R,1,3,1,1.0
18,FEMALE,H,D,1,3,1,1.0
18,MALE,H,D,1,3,1,1.0
30,FEMALE,S,Lp,1,3,1,1.0
30,MALE,S,Lp,1,3,1,1.0
30,FEMALE,Lp,A,1,3,1,1.0
30,MALE,Lp,A,1,3,1,1.0
30,FEMALE,A,R,1,3,1,1.0
30,MALE,A,R,1,3,1,1.0
30,FEMALE,Lp,Ls,1,3,1,1.0
30,MALE,Lp,Ls,1,3,1,1.0
30,FEMALE,Ls,Ip,1,3,1,1.0
30,MALE,Ls,Ip,1,3,1,1.0
30,FEMALE,Ls,Iv,1,3,1,1.0
30,MALE,Ls,Iv,1,3,1,1.0
30,FEMALE,Ls,Is,1,3,1,1.0
30,MALE,Ls,Is,1,3,1,1.0
30,FEMALE,Ip,Is,1,3,1,1.0
30,MALE,Ip,Is,1,3,1,1.0
30,FEMALE,Ip,Iv,1,3,1,1.0
30,MALE,Ip,Iv,1,3,1,1.0
30,FEMALE,Is,R,1,3,1,1.0
30,MALE,Is,R,1,3,1,1.0
30,FEMALE,Is,H,1,3,1,1.0
30,MALE,Is,H,1,3,1,1.0
30,FEMALE,Is,D,1,3,1,1.0
30,MALE,Is,D,1,3,1,1.0
30,FEMALE,Iv,R,1,3,1,1.0
30,MALE,Iv,R,1,3,1,1.0
30,FEMALE,Iv,H,1,3,1,1.0
30,MALE,Iv,H,1,3,1,1.0
30,FEMALE,Iv,D,1,3,1,1.0
30,MALE,Iv,D,1,3,1,1.0
30,FEMALE,H,R,1,3,1,1.0
30,MALE,H,R,1,3,1,1.0
30,FEMALE,H,D,1,3,1,1.0
30,MALE,H,D,1,3,1,1.0
50,FEMALE,S,Lp,1,3,1,1.0
50,MALE,S,Lp,1,3,1,1.0
50,FEMALE,Lp,A,1,3,1,1.0
50,MALE,Lp,A,1,3,1,1.0
50,FEMALE,A,R,1,3,1,1.0
50,MALE,A,R,1,3,1,1.0
50,FEMALE,Lp,Ls,1,3,1,1.0
50,MALE,Lp,Ls,1,3,1,1.0
50,FEMALE,Ls,Ip,1,3,1,1.0
50,MALE,Ls,Ip,1,3,1,1.0
50,FEMALE,Ls,Iv,1,3,1,1.0
50,MALE,Ls,Iv,1,3,1,1.0
50,FEMALE,Ls,Is,1,3,1,1.0
50,MALE,Ls,Is,1,3,1,1.0
50,FEMALE,Ip,Is,1,3,1,1.0
50,MALE,Ip,Is,1,3,1,1.0
50,FEMALE,Ip,Iv,1,3,1,1.0
50,MALE,Ip,Iv,1,3,1,1.0
50,FEMALE,Is,R,1,3,1,1.0
50,MALE,Is,R,1,3,1,1.0
50,FEMALE,Is,H,1,3,1,1.0
50,MALE,Is,H,1,3,1,1.0
50,FEMALE,Is,D,1,3,1,1.0
50,MALE,Is,D,1,3,1,1.0
50,FEMALE,Iv,R,1,3,1,1.0
50,MALE,Iv,R,1,3,1,1.0
50,FEMALE,Iv,H,1,3,1,1.0
50,MALE,Iv,H,1,3,1,1.0
50,FEMALE,Iv,D,1,3,1,1.0
50,MALE,Iv,D,1,3,1,1.0
50,FEMALE,H,R,1,3,1,1.0
50,MALE,H,R,1,3,1,1.0
50,FEMALE,H,D,1,3,1,1.0
50,MALE,H,D,1,3,1,1.0
80,FEMALE,S,Lp,1,3,1,1.0
80,MALE,S,Lp,1,3,1,1.0
80,FEMALE,Lp,A,1,3,1,1.0
80,MALE,Lp,A,1,3,1,1.0
80,FEMALE,A,R,1,3,1,1.0
80,MALE,A,R,1,3,1,1.0
80,FEMALE,Lp,Ls,1,3,1,1.0
80,MALE,Lp,Ls,1,3,1,1.0
80,FEMALE,Ls,Ip,1,3,1,1.0
80,MALE,Ls,Ip,1,3,1,1.0
80,FEMALE,Ls,Iv,1,3,1,1.0
80,MALE,Ls,Iv,1,3,1,1.0
80,FEMALE,Ls,Is,1,3,1,1.0
80,MALE,Ls,Is,1,3,1,1.0
80,FEMALE,Ip,Is,1,3,1,1.0
80,MALE,Ip,Is,1,3,1,1.0
80,FEMALE,Ip,Iv,1,3,1,1.0
80,MALE,Ip,Iv,1,3,1,1.0
80,FEMALE,Is,R,1,3,1,1.0
80,MALE,Is,R,1,3,1,1.0
80,FEMALE,Is,H,1,3,1,1.0
80,MALE,Is,H,1,3,1,1.0
80,FEMALE,Is,D,1,3,1,1.0
80,MALE,Is,D,1,3,1,1.0
80,FEMALE,Iv,R,1,3,1,1.0
80,MALE,Iv,R,1,3,1,1.0
80,FEMALE,Iv,H,1,3,1,1.0
80,MALE,Iv,H,1,3,1,1.0
80,FEMALE,Iv,D,1,3,1,1.0
80,MALE,Iv,D,1,3,1,1.0
80,FEMALE,H,R,1,3,1,1.0
80,MALE,H,R,1,3,1,1.0
80,FEMALE,H,D,1,3,1,1.0
80,MALE,H,D,1,3,1,1.0
120,FEMALE,,S,Lp,1,3,1,1.0
120,MALE,S,Lp,1,3,1,1.0
120,FEMALE,,Lp,A,1,3,1,1.0
120,MALE,Lp,A,1,3,1,1.0
120,FEMALE,,A,R,1,3,1,1.0
120,MALE,A,R,1,3,1,1.0
120,FEMALE,,Lp,Ls,1,3,1,1.0
120,MALE,Lp,Ls,1,3,1,1.0
120,FEMALE,,Ls,Ip,1,3,1,1.0
120,MALE,Ls,Ip,1,3,1,1.0
120,FEMALE,,Ls,Iv,1,3,1,1.0
120,MALE,Ls,Iv,1,3,1,1.0
120,FEMALE,,Ls,Is,1,3,1,1.0
120,MALE,Ls,Is,1,3,1,1.0
120,FEMALE,,Ip,Is,1,3,1,1.0
120,MALE,Ip,Is,1,3,1,1.0
120,FEMALE,,Ip,Iv,1,3,1,1.0
120,MALE,Ip,Iv,1,3,1,1.0
120,FEMALE,,Is,R,1,3,1,1.0
120,MALE,Is,R,1,3,1,1.0
120,FEMALE,,Is,H,1,3,1,1.0
120,MALE,Is,H,1,3,1,1.0
120,FEMALE,,Is,D,1,3,1,1.0
120,MALE,Is,D,1,3,1,1.0
120,FEMALE,,Iv,R,1,3,1,1.0
120,MALE,Iv,R,1,3,1,1.0
120,FEMALE,,Iv,H,1,3,1,1.0
120,MALE,Iv,H,1,3,1,1.0
120,FEMALE,,Iv,D,1,3,1,1.0
120,MALE,Iv,D,1,3,1,1.0
120,FEMALE,,H,R,1,3,1,1.0
120,MALE,H,R,1,3,1,1.0
120,FEMALE,,H,D,1,3,1,1.0
120,MALE,H,D,1,3,1,1.0
