ID	Country	ISO	Admin	Code	Region	Category	Measure	Pop. Targeted	Comments	Non-compliance	Date	Source	Source Type
1	Afghanistan	AFG			Asia	Public health measures	Health screenings in airports and border crossings	No			12/02/2020	Ministry of Health	Government
2	Afghanistan	AFG	Kabul		Asia	Public health measures	Introduction of quarantine policies	No			12/02/2020	Ministry of Health	Government
3	Afghanistan	AFG			Asia	Public health measures	Awareness campaigns	No			12/02/2020	Ministry of Health	Government
4	Afghanistan	AFG			Asia	Social and economic measures	Emergency administrative structures activated or established	No			12/02/2020	Ministry of Health	Government
5	Afghanistan	AFG			Asia	Social distancing	Limit public gatherings	No	Nevruz festival cancelled		12/03/2020	AA	Media
6	Afghanistan	AFG			Asia	Movement restrictions	Border closure 	No	Closure of borders with Iran		24/02/2020	Guardian	Media
8	Afghanistan	AFG	Herat		Asia	Social distancing	Schools closure 	No			01/03/2020	OCHA	UN
10	Afghanistan	AFG	Herat		Asia	Social distancing	Limit public gatherings	No	all public gatherings banned		01/03/2020	OCHA	UN
12	Afghanistan	AFG			Asia	Public health measures	Strengthening the public health system	No			01/03/2020	OCHA	UN
17	Afghanistan	AFG			Asia	Social and economic measures	Limit product imports/exports	No	Food imports from Iran and Afghanistan has been limited		01/03/2020	US Embassy 	Government
23	Afghanistan	AFG			Asia	Movement restrictions	Border checks 	Yes	All China and Iran nationals		01/02/2020	US Embassy 	Government
27	Albania	ALB			Europe	Movement restrictions	International flights suspension	Yes	Italy until 3rd April	Not applicable	09/03/2020	Tirana Times 09/03/3030	Media
28	Albania	ALB	Tirana and Durres		Europe	Movement restrictions	Domestic travel restrictions	No	vehicle movement restrictions	Not applicable	16/03/2020	US Embassy 	Government
29	Albania	ALB			Europe	Social distancing	Schools closure 	No	All schools are closed from March 10, 2020 until March 23, 2020	Not applicable	10/03/2020	US Embassy 	Government
30	Albania	ALB			Europe	Social distancing	Limit public gatherings	No	Until 3rd April	Not applicable	10/03/2020	US Embassy 	Government
31	Albania	ALB			Europe	Movement restrictions	Checkpoints within the country	Yes	People who have traveled to WHO high-risk regions for COVID-19 in the past 14 days	Not applicable	10/03/2020	US Embassy 	Government
32	Albania	ALB			Europe	Public health measures	Introduction of quarantine policies	Yes	All people entering the country for 15 days	Not applicable	10/03/2020	US Embassy 	Government
34	Albania	ALB			Europe	Social and economic measures	Economic measures	No	Stopped loan payments for 3 months (until 31.5.2020 as officially ordered on 17.3.2020) for all albanians 	Not applicable	12/03/2020	BalkanInSight	Media
35	Albania	ALB			Europe	Public health measures	Awareness campaigns	No		Not applicable	11/03/2020	US Embassy 	Government
925	Albania	ALB			Europe	Public health measures	Health screenings in airports and border crossings	No	All suspected cases at Mother Teresa International Airport and the seaports of Vlore and Durres are evaluated onsite.		19/03/2020	US embassy of Albania 	Government
926	Albania	ALB			Europe	Public health measures	Strengthening the public health system	No	Train additional 3000 nurses and doctors to respond to COVID-19 and increased the number of medical personnel at all ports of entries		19/03/2020	Albania Ministry of Health "MSHMS"	Government
931	Albania	ALB			Europe	Public health measures	Strengthening the public health system	No	Create safe sanitary areas for non COVID-19 patients to be treated and Emergency/surgical interventions transferred to the University Trauma Hospital 		20/03/2020	Albania Ministry of Health "MSHMS"	Government
932	Albania	ALB			Europe	Movement restrictions	Border closure 	Yes	Land borders: Montenegro (March 16, 2020), Kosovo (March 14, 2020) "except citizens of Kosovo and Albania" and Macedonia (March 16, 2020)// ALL Borders: Greece (10p.m March 15, 2020)"except commercial trade"		14/03/2020	US Embassy of Albania 	Government
1938	Albania	ALB			Europe	Social and economic measures	Emergency administrative structures activated or established	Yes	emergency law "normative act" that can be approved by the government with immediate effect without the need for the prior approval of parliament which automatically executable fines for issues of non-complience 	Fines	22/03/2020	BalkaninSight	Media
1939	Albania	ALB			Europe	Movement restrictions	International flights suspension	Yes	All flights to and from Tirana airport will be suspended ** except Air Albania’s flights to and from Istanbul for humanitarian reasons.		23/03/2020	International SOS	Other organisations
